# Portfolio Plan,konservatif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,12.00,82.93,120000
AKBNK,core,banking_intrinsic,11.12,74.61,111210
YKBNK,core,banking_intrinsic,10.62,71.23,106170
LOGO,core,,10.41,69.85,104126
ARCLK,core,,10.38,69.65,103827
EREGL,core,,9.49,63.66,94890
ISCTR,core,banking_intrinsic,9.19,61.63,91865
TCELL,core,,8.37,56.18,83737
CCOLA,yuksek_kazanc,deep_value,2.18,77.69,21752
OYAKC,yuksek_kazanc,deep_value,2.17,77.50,21701
AKSA,yuksek_kazanc,deep_value,2.13,76.12,21312
FROTO,yuksek_kazanc,deep_value,2.11,75.28,21078
HALKB,yuksek_kazanc,deep_value,2.06,73.50,20579
AEFES,yuksek_kazanc,deep_value,2.01,71.75,20088
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,62.27,20000
CASH,cash,reserve,1.77,,17664
