# Portfolio Plan,konservatif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,8.29,82.95,82935
ARENA,core,,7.87,78.71,78693
CWENE,core,,7.84,78.37,78350
AKBNK,core,banking_intrinsic,7.46,74.65,74636
YKBNK,core,banking_intrinsic,7.12,71.24,71227
ARCLK,core,,6.97,69.71,69691
LOGO,core,,6.97,69.69,69674
TKNSA,core,,6.59,65.90,65885
EREGL,core,,6.37,63.69,63677
ENJSA,core,,6.23,62.27,62252
ISCTR,core,banking_intrinsic,6.16,61.64,61627
TCELL,core,,5.62,56.18,56164
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
CCOLA,yuksek_kazanc,deep_value,2.00,77.69,20000
FROTO,yuksek_kazanc,deep_value,2.00,75.28,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
AKSA,yuksek_kazanc,deep_value,2.00,76.12,20000
MAVI,yuksek_kazanc,deep_value,2.00,76.13,20000
OYAKC,yuksek_kazanc,deep_value,2.00,77.50,20000
KCAER,yuksek_kazanc,deep_value,2.00,74.42,20000
INFO,yuksek_kazanc,deep_value,2.00,82.18,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
ISMEN,yuksek_kazanc,deep_value,2.00,78.08,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.26,20000
INDES,yuksek_kazanc,deep_value,2.00,78.27,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,63.93,20000
CASH,cash,reserve,0.00,,0
