# Portfolio Plan,agresif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,4.39,82.76,43910
AZTEK,core,,4.25,80.19,42548
KMPUR,core,,4.09,77.06,40885
CWENE,core,,4.07,76.73,40711
AKBNK,core,banking_intrinsic,3.99,75.29,39948
ULUUN,core,,3.92,73.94,39234
KRVGD,core,,3.92,73.94,39232
ARASE,core,,3.90,73.51,39006
YKBNK,core,banking_intrinsic,3.77,70.98,37660
ARCLK,core,,3.71,70.01,37147
LOGO,core,,3.62,68.14,36154
DOAS,core,,3.56,67.13,35618
TTRAK,core,,3.55,66.99,35546
GEDIK,core,,3.54,66.75,35419
TKNSA,core,,3.47,65.44,34724
ENJSA,core,,3.35,63.09,33474
EREGL,core,,3.26,61.40,32578
ISCTR,core,banking_intrinsic,3.25,61.27,32508
SKYMD,core,,3.17,59.76,31706
HLGYO,core,,3.16,59.50,31572
MTRYO,core,,3.05,57.49,30503
PLTUR,core,,3.04,57.23,30365
TCELL,core,,2.96,55.70,29553
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
CCOLA,yuksek_kazanc,deep_value,2.00,77.69,20000
FROTO,yuksek_kazanc,deep_value,2.00,75.34,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
AKSA,yuksek_kazanc,deep_value,2.00,76.12,20000
MAVI,yuksek_kazanc,deep_value,2.00,76.13,20000
OYAKC,yuksek_kazanc,deep_value,2.00,77.50,20000
KCAER,yuksek_kazanc,deep_value,2.00,74.42,20000
INFO,yuksek_kazanc,deep_value,2.00,82.18,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
ISMEN,yuksek_kazanc,deep_value,2.00,78.08,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.57,20000
ARENA,yuksek_kazanc,deep_value,2.00,81.66,20000
INDES,yuksek_kazanc,deep_value,2.00,78.27,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
KUYAS,yuksek_kazanc,deep_value,2.00,65.34,20000
AGHOL,yuksek_kazanc,deep_value,2.00,80.16,20000
ISGYO,yuksek_kazanc,mature_transition,2.00,54.36,20000
KLGYO,yuksek_kazanc,deep_value,2.00,70.69,20000
GOODY,yuksek_kazanc,deep_value,2.00,74.07,20000
AKFIS,yuksek_kazanc,deep_value,2.00,73.50,20000
ARTMS,yuksek_kazanc,deep_value,2.00,71.72,20000
AVPGY,yuksek_kazanc,deep_value,2.00,72.00,20000
DESPC,yuksek_kazanc,deep_value,2.00,73.01,20000
GOKNR,yuksek_kazanc,deep_value,2.00,76.20,20000
ISSEN,yuksek_kazanc,mature_transition,2.00,58.83,20000
KRTEK,yuksek_kazanc,deep_value,2.00,60.22,20000
KZBGY,yuksek_kazanc,deep_value,2.00,72.00,20000
SNPAM,yuksek_kazanc,deep_value,2.00,73.95,20000
TRILC,yuksek_kazanc,deep_value,2.00,67.75,20000
UNLU,yuksek_kazanc,deep_value,2.00,70.73,20000
VKGYO,yuksek_kazanc,deep_value,2.00,72.00,20000
HALKB,yuksek_kazanc,deep_value,2.00,73.50,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,62.90,20000
CASH,cash,reserve,0.00,,0
