# Portfolio Plan,dengeli,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,8.86,82.76,88596
CWENE,core,,8.21,76.73,82140
AKBNK,core,banking_intrinsic,8.06,75.29,80603
VESTL,core,,7.62,71.21,76230
YKBNK,core,banking_intrinsic,7.60,70.98,75985
ARCLK,core,,7.49,70.01,74950
LOGO,core,,7.29,68.14,72948
TKNSA,core,,7.01,65.44,70061
ENJSA,core,,6.75,63.09,67540
EREGL,core,,6.57,61.40,65731
ISCTR,core,banking_intrinsic,6.56,61.27,65590
TCELL,core,,5.96,55.70,59628
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
CCOLA,yuksek_kazanc,deep_value,2.00,77.69,20000
FROTO,yuksek_kazanc,deep_value,2.00,75.34,20000
PGSUS,yuksek_kazanc,distress_turnaround,2.00,66.68,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
AKSA,yuksek_kazanc,deep_value,2.00,76.12,20000
HEKTS,yuksek_kazanc,distress_turnaround,2.00,60.46,20000
MAVI,yuksek_kazanc,deep_value,2.00,76.13,20000
OYAKC,yuksek_kazanc,deep_value,2.00,77.50,20000
KCAER,yuksek_kazanc,deep_value,2.00,74.42,20000
KONTR,yuksek_kazanc,distress_turnaround,2.00,80.22,20000
INFO,yuksek_kazanc,deep_value,2.00,82.18,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
ISMEN,yuksek_kazanc,deep_value,2.00,78.08,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.57,20000
ARENA,yuksek_kazanc,deep_value,2.00,81.66,20000
INDES,yuksek_kazanc,deep_value,2.00,78.27,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
HALKB,yuksek_kazanc,deep_value,2.00,73.50,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,63.40,20000
CASH,cash,reserve,0.00,,0
