# Portfolio Plan,konservatif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
EREGL,core,,10.00,63.63,100000
ARCLK,core,,10.00,69.48,100000
GARAN,core,banking_intrinsic,10.00,82.74,100000
AKBNK,core,banking_intrinsic,10.00,74.50,100000
YKBNK,core,banking_intrinsic,10.00,71.04,100000
ISCTR,core,banking_intrinsic,10.00,61.48,100000
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
CCOLA,yuksek_kazanc,deep_value,2.00,77.69,20000
FROTO,yuksek_kazanc,deep_value,2.00,75.21,20000
HALKB,yuksek_kazanc,deep_value,2.00,73.50,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,62.06,20000
CASH,cash,reserve,30.00,,300000
