# Portfolio Plan,konservatif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,12.00,82.74,120000
AKBNK,core,banking_intrinsic,11.13,74.50,111298
YKBNK,core,banking_intrinsic,10.61,71.04,106127
LOGO,core,,10.42,69.77,104230
ARCLK,core,,10.38,69.48,103789
EREGL,core,,9.50,63.63,95048
ISCTR,core,banking_intrinsic,9.18,61.48,91847
TCELL,core,,8.35,55.89,83493
CCOLA,yuksek_kazanc,deep_value,2.18,77.69,21763
OYAKC,yuksek_kazanc,deep_value,2.17,77.50,21711
AKSA,yuksek_kazanc,deep_value,2.13,76.12,21322
FROTO,yuksek_kazanc,deep_value,2.11,75.21,21068
HALKB,yuksek_kazanc,deep_value,2.06,73.50,20589
AEFES,yuksek_kazanc,deep_value,2.01,71.75,20098
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,62.06,20000
CASH,cash,reserve,1.76,,17616
