# Portfolio Plan,agresif,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,7.06,82.95,70611
CWENE,core,,6.67,78.37,66708
AKBNK,core,banking_intrinsic,6.35,74.65,63545
YKBNK,core,banking_intrinsic,6.06,71.24,60643
ARCLK,core,,5.93,69.71,59336
LOGO,core,,5.93,69.69,59321
TKNSA,core,,5.61,65.90,56095
EREGL,core,,5.42,63.69,54215
ENJSA,core,,5.30,62.27,53002
ISCTR,core,banking_intrinsic,5.25,61.64,52470
TCELL,core,,4.78,56.18,47818
INFO,yuksek_kazanc,deep_value,2.23,82.18,22275
ARENA,yuksek_kazanc,deep_value,2.13,78.71,21334
INDES,yuksek_kazanc,deep_value,2.12,78.27,21213
ISMEN,yuksek_kazanc,deep_value,2.12,78.08,21164
CCOLA,yuksek_kazanc,deep_value,2.11,77.69,21057
OYAKC,yuksek_kazanc,deep_value,2.10,77.50,21007
MAVI,yuksek_kazanc,deep_value,2.06,76.13,20634
AKSA,yuksek_kazanc,deep_value,2.06,76.12,20631
FROTO,yuksek_kazanc,deep_value,2.04,75.28,20404
KCAER,yuksek_kazanc,deep_value,2.02,74.42,20171
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.26,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
HALKB,yuksek_kazanc,deep_value,2.00,73.50,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,63.93,20000
CASH,cash,reserve,0.63,,6345
