# Portfolio Plan,dengeli,capital_tl=1000000
ticker,sleeve,sub_category,weight_pct,composite,capital_allocation_tl
GARAN,core,banking_intrinsic,4.66,82.76,46555
AZTEK,core,,4.51,80.19,45112
KMPUR,core,,4.33,77.06,43348
CWENE,core,,4.32,76.73,43163
AKBNK,core,banking_intrinsic,4.24,75.29,42355
ULUUN,core,,4.16,73.94,41597
KRVGD,core,,4.16,73.94,41596
ARASE,core,,4.14,73.51,41355
YKBNK,core,banking_intrinsic,3.99,70.98,39928
ARCLK,core,,3.94,70.01,39385
LOGO,core,,3.83,68.14,38332
DOAS,core,,3.78,67.13,37763
TTRAK,core,,3.77,66.99,37687
GEDIK,core,,3.76,66.75,37553
TKNSA,core,,3.68,65.44,36815
ENJSA,core,,3.55,63.09,35491
EREGL,core,,3.45,61.40,34540
ISCTR,core,banking_intrinsic,3.45,61.27,34466
SKYMD,core,,3.36,59.76,33616
HLGYO,core,,3.35,59.50,33474
MTRYO,core,,3.23,57.49,32341
PLTUR,core,,3.22,57.23,32194
TCELL,core,,3.13,55.70,31333
TRALT,yuksek_kazanc,deep_value,2.00,59.34,20000
CCOLA,yuksek_kazanc,deep_value,2.00,77.69,20000
FROTO,yuksek_kazanc,deep_value,2.00,75.34,20000
AEFES,yuksek_kazanc,deep_value,2.00,71.75,20000
AKSA,yuksek_kazanc,deep_value,2.00,76.12,20000
MAVI,yuksek_kazanc,deep_value,2.00,76.13,20000
OYAKC,yuksek_kazanc,deep_value,2.00,77.50,20000
KCAER,yuksek_kazanc,deep_value,2.00,74.42,20000
INFO,yuksek_kazanc,deep_value,2.00,82.18,20000
VESBE,yuksek_kazanc,deep_value,2.00,69.51,20000
ISMEN,yuksek_kazanc,deep_value,2.00,78.08,20000
BOSSA,yuksek_kazanc,mature_transition,2.00,59.57,20000
ARENA,yuksek_kazanc,deep_value,2.00,81.66,20000
INDES,yuksek_kazanc,deep_value,2.00,78.27,20000
EUREN,yuksek_kazanc,deep_value,2.00,68.85,20000
KUYAS,yuksek_kazanc,deep_value,2.00,65.34,20000
AGHOL,yuksek_kazanc,deep_value,2.00,80.16,20000
ISGYO,yuksek_kazanc,mature_transition,2.00,54.36,20000
KLGYO,yuksek_kazanc,deep_value,2.00,70.69,20000
GOODY,yuksek_kazanc,deep_value,2.00,74.07,20000
AKFIS,yuksek_kazanc,deep_value,2.00,73.50,20000
ARTMS,yuksek_kazanc,deep_value,2.00,71.72,20000
AVPGY,yuksek_kazanc,deep_value,2.00,72.00,20000
DESPC,yuksek_kazanc,deep_value,2.00,73.01,20000
GOKNR,yuksek_kazanc,deep_value,2.00,76.20,20000
ISSEN,yuksek_kazanc,mature_transition,2.00,58.83,20000
KRTEK,yuksek_kazanc,deep_value,2.00,60.22,20000
KZBGY,yuksek_kazanc,deep_value,2.00,72.00,20000
SNPAM,yuksek_kazanc,deep_value,2.00,73.95,20000
TRILC,yuksek_kazanc,deep_value,2.00,67.75,20000
UNLU,yuksek_kazanc,deep_value,2.00,70.73,20000
VKGYO,yuksek_kazanc,deep_value,2.00,72.00,20000
HALKB,yuksek_kazanc,deep_value,2.00,73.50,20000
SAHOL,yuksek_kazanc,holding_chronic_discount,2.00,62.90,20000
CASH,cash,reserve,0.00,,0
