ticker,sirket_adi,float_amount_tl,float_pct,odenmis_sermaye_tl,shares_outstanding,float_shares,update_date
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,1945225493.1,0.3285,5921538791.780822,5921538791.780822,1945225493.1000001,2026-05-10
ANHYT,ANADOLU HAYAT EMEKLİLİK A.Ş.,64773665.51,0.1506,430104020.6507304,430104020.6507304,64773665.51,2026-05-10
ASUZU,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,36465719.86,0.1447,252009121.3545266,252009121.3545266,36465719.86,2026-05-10
ANGEN,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,77844784.43,0.3538,220024828.80158284,220024828.80158284,77844784.43,2026-05-10
ANELE,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,100066530.93,0.3776,265006702.67478815,265006702.67478815,100066530.93,2026-05-10
ARCLK,ARÇELİK A.Ş.,118716810.68,0.1756,676063842.1412301,676063842.1412301,118716810.68,2026-05-10
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,127257472.87,0.3948,322334024.4934144,322334024.4934144,127257472.87,2026-05-10
ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,50595656.24,0.5059,100011180.54951571,100011180.54951571,50595656.24,2026-05-10
ARFYE,ARF BİO YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,46994321.87,0.0257,1828572835.4085603,1828572835.4085603,46994321.87,2026-05-10
ARMGD,ARMADA GIDA TİCARET SANAYİ A.Ş.,44688067.73,0.1692,264113875.47281325,264113875.47281325,44688067.73,2026-05-10
ARSAN,ARSAN HOLDİNG A.Ş.,624892957.99,0.3546,1762247484.4613647,1762247484.4613647,624892957.99,2026-05-10
ARTMS,ARTEMİS HALI A.Ş.,19830595.84,0.2832,70023290.39548023,70023290.39548023,19830595.840000004,2026-05-10
ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,399412176.54,0.6656,600078390.2343751,600078390.2343751,399412176.5400001,2026-05-10
ASGYO,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,150876165.85,0.2289,659135717.9991262,659135717.9991262,150876165.85,2026-05-10
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,1175678610.44,0.2578,4560429055.236618,4560429055.236618,1175678610.44,2026-05-10
ASTOR,ASTOR ENERJİ A.Ş.,426429235.61,0.4272,998195776.2406367,998195776.2406367,426429235.61,2026-05-10
ATAGY,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,28227844.65,0.5942,47505628.828677215,47505628.828677215,28227844.65,2026-05-10
ATATR,ATA TURİZM İŞLETMECİLİK TAŞIMACILIK MADENCİLİK KUYUMCULUK SANAYİ VE DIŞ TİCARET A.Ş.,279756210.92,0.3484,802974198.966705,802974198.966705,279756210.92,2026-05-10
ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,28218495.0,0.2033,138802238.07181504,138802238.07181504,28218495.0,2026-05-10
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,48209732.63,0.0183,2634411619.1256833,2634411619.1256833,48209732.63,2026-05-10
ATSYH,ATLANTİS YATIRIM HOLDİNG A.Ş.,7994715.36,0.9993,8000315.580906635,8000315.580906635,7994715.36,2026-05-10
ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,59507394.38,0.9917,60005439.52808309,60005439.52808309,59507394.38,2026-05-10
ATATP,ATP YAZILIM VE TEKNOLOJİ A.Ş.,18233334.27,0.1944,93792871.75925927,93792871.75925927,18233334.27,2026-05-10
AVOD,A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,250447653.86,0.9275,270024424.6469003,270024424.6469003,250447653.86,2026-05-10
AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,58124963.91,0.5208,111607073.55990782,111607073.55990782,58124963.91,2026-05-10
AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,29250303.6,0.0065,4500046707.692308,4500046707.692308,29250303.600000005,2026-05-10
AVHOL,AVRUPA YATIRIM HOLDİNG A.Ş.,26575019.74,0.7134,37251219.147743195,37251219.147743195,26575019.74,2026-05-10
AVPGY,AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,86859650.58,0.2171,400090513.956702,400090513.956702,86859650.58,2026-05-10
AYDEM,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,129928078.67,0.1842,705364162.1606948,705364162.1606948,129928078.66999999,2026-05-10
AYEN,AYEN ENERJİ A.Ş.,46989373.07,0.1693,277550933.66804487,277550933.66804487,46989373.07,2026-05-10
AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,87449586.92,0.5829,150025024.7383771,150025024.7383771,87449586.92,2026-05-10
AYGAZ,AYGAZ A.Ş.,53117033.42,0.2416,219855270.7781457,219855270.7781457,53117033.42,2026-05-10
AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,255313365.61,0.2553,1000052352.5656091,1000052352.5656091,255313365.61000004,2026-05-10
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,233173836.59,0.3454,675083487.521714,675083487.521714,233173836.59,2026-05-10
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,41160752.93,0.2157,190824074.77978674,190824074.77978674,41160752.93,2026-05-10
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,55108843.04,0.6123,90003010.02776417,90003010.02776417,55108843.04,2026-05-10
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,82582744.59,0.6117,135005304.2177538,135005304.2177538,82582744.59,2026-05-10
BAHKM,BAHADIR KİMYA SANAYİ VE TİCARET A.Ş.,22088015.64,0.4016,55000038.944223106,55000038.944223106,22088015.64,2026-05-10
BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,12606929.95,0.0175,720395997.1428571,720395997.1428571,12606929.95,2026-05-10
BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,13431083.52,0.9677,13879387.74413558,13879387.74413558,13431083.52,2026-05-10
BALSU,BALSU GIDA SANAYİ VE TİCARET A.Ş.,277944477.13,0.2499,1112222797.6390555,1112222797.6390555,277944477.13,2026-05-10
BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ VE TİCARET A.Ş.,142153584.97,0.5877,241881206.34677556,241881206.34677556,142153584.97,2026-05-10
BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİ A.Ş.,8292303.54,0.0829,100027786.97225572,100027786.97225572,8292303.539999999,2026-05-10
BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,68108530.51,0.2594,262561798.41942945,262561798.41942945,68108530.51,2026-05-10
BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,106980978.66,0.1528,700137294.895288,700137294.895288,106980978.66,2026-05-10
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,16990994.03,0.0743,228680942.53028265,228680942.53028265,16990994.03,2026-05-10
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,21571095.2,0.0719,300015232.2670375,300015232.2670375,21571095.2,2026-05-10
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,49179364.14,0.0745,660125693.1543624,660125693.1543624,49179364.14,2026-05-10
BEGYO,BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,284180451.11,0.3486,815204965.89214,815204965.89214,284180451.11,2026-05-10
BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,3586955011.96,0.6428,5580203814.499066,5580203814.499066,3586955011.96,2026-05-10
BSOKE,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,405227883.0,0.2532,1600426078.1990523,1600426078.1990523,405227883.0,2026-05-10
BYDNR,BAYDÖNER RESTORANLARI A.Ş.,17924019.24,0.2133,84031970.18284106,84031970.18284106,17924019.24,2026-05-10
BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,189449602.08,0.7577,250032469.42061502,250032469.42061502,189449602.08,2026-05-10
BERA,BERA HOLDİNG A.Ş.,467513455.19,0.6842,683299408.345513,683299408.345513,467513455.19,2026-05-10
BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,62309693.85,0.6657,93600261.15367283,93600261.15367283,62309693.85,2026-05-10
BESLR,BESLER GIDA VE KİMYA SANAYİ VE TİCARET A.Ş.,185388131.66,0.0028,66210047021.42857,66210047021.42857,185388131.66,2026-05-10
BESTE,BEST BRANDS GRUP ENERJİ YATIRIM A.Ş.,54565806.94,0.2899,188222859.39979303,188222859.39979303,54565806.94,2026-05-10
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,1335318218.1,0.3059,4365211566.198104,4365211566.198104,1335318218.1,2026-05-10
BEYAZ,BEYAZ FİLO OTO KİRALAMA A.Ş.,24468251.31,0.2454,99707625.55012225,99707625.55012225,24468251.31,2026-05-10
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,83024148.96,0.2299,361131574.4236624,361131574.4236624,83024148.96,2026-05-10
BIGTK,BİG MEDYA TEKNOLOJİ A.Ş.,7379205.62,0.2182,33818540.879926674,33818540.879926674,7379205.62,2026-05-10
BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,49075546.92,0.4907,100011304.09618911,100011304.09618911,49075546.92,2026-05-10
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,410914582.31,0.6848,600050499.8685749,600050499.8685749,410914582.31000006,2026-05-10
BINBN,BİN ULAŞIM VE AKILLI ŞEHİR TEKNOLOJİLERİ A.Ş.,16938093.78,0.1512,112024429.76190478,112024429.76190478,16938093.78,2026-05-10
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,197822045.82,0.3956,500055727.5530839,500055727.5530839,197822045.82,2026-05-10
BRKVY,BİRİKİM VARLIK YÖNETİM A.Ş.,13571951.22,0.2423,56013005.447792,56013005.447792,13571951.22,2026-05-10
BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,116225235.22,0.8301,140013534.77894232,140013534.77894232,116225235.22000001,2026-05-10
BIGEN,BİRLEŞİM GRUP ENERJİ YATIRIMLARI A.Ş.,115481748.87,0.2001,577120184.257871,577120184.257871,115481748.86999999,2026-05-10
BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,107871610.15,0.4815,224032419.83385256,224032419.83385256,107871610.15,2026-05-10
BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,57175720.96,0.6405,89267323.90320063,89267323.90320063,57175720.96,2026-05-10
BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,26362159.89,0.3275,80495144.70229007,80495144.70229007,26362159.89,2026-05-10
BLUME,BLUME METAL KİMYA A.Ş.,132658503.36,0.7593,174711580.87712368,174711580.87712368,132658503.36000001,2026-05-10
BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,74735517.62,0.4982,150011075.11039746,150011075.11039746,74735517.62,2026-05-10
BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,63063047.62,0.6306,100004832.88931176,100004832.88931176,63063047.620000005,2026-05-10
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,113978039.67,0.2999,380053483.39446485,380053483.39446485,113978039.67,2026-05-10
BORSK,BOR ŞEKER A.Ş.,279855999.04,0.2915,960054885.2144084,960054885.2144084,279855999.04,2026-05-10
BORLS,BORLEASE OTOMOTİV A.Ş.,308424051.29,0.4406,700009194.93872,700009194.93872,308424051.29,2026-05-10
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,22494413.81,0.1586,141831108.51197982,141831108.51197982,22494413.81,2026-05-10
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,4317242.84,0.1535,28125360.52117264,28125360.52117264,4317242.84,2026-05-10
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,18928535.94,0.1544,122594144.68911918,122594144.68911918,18928535.94,2026-05-10
BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,158226995.55,0.1217,1300139651.1914544,1300139651.1914544,158226995.55,2026-05-10
BRISA,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,31189342.4,0.1022,305179475.53816044,305179475.53816044,31189342.4,2026-05-10
BULGS,BULLS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,72485787.75,0.2704,268068741.67899412,268068741.67899412,72485787.75,2026-05-10
BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,44360826.91,0.5266,84240081.4849981,84240081.4849981,44360826.91,2026-05-10
BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,3339529.12,0.4545,7347698.833883388,7347698.833883388,3339529.12,2026-05-10
BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,545582979.66,0.3637,1500090678.1963155,1500090678.1963155,545582979.66,2026-05-10
BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,13742407.45,0.3654,37609215.790914066,37609215.790914066,13742407.45,2026-05-10
BIGCH,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,232033832.88,0.4337,535009990.5003459,535009990.5003459,232033832.88,2026-05-10
CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,13658597.81,0.1068,127889492.60299625,127889492.60299625,13658597.81,2026-05-10
CASA,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ VE TİCARET A.Ş.,4748411.23,0.0969,49003211.86790506,49003211.86790506,4748411.23,2026-05-10
CEMZY,CEM ZEYTİN A.Ş.,691982438.11,0.3008,2300473530.950798,2300473530.950798,691982438.1100001,2026-05-10
CEOEM,CEO EVENT MEDYA A.Ş.,22200783.15,0.5045,44005516.65014866,44005516.65014866,22200783.15,2026-05-10
CCOLA,COCA-COLA İÇECEK A.Ş.,821373430.59,0.2935,2798546611.890971,2798546611.890971,821373430.59,2026-05-10
CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,376788024.39,0.4887,771000663.781461,771000663.781461,376788024.39,2026-05-10
COSMO,COSMOS YATIRIM HOLDİNG A.Ş.,4536065.21,0.6557,6917897.2243404,6917897.2243404,4536065.21,2026-05-10
CRDFA,CREDITWEST FAKTORİNG A.Ş.,156498577.4,0.5216,300035616.18098164,300035616.18098164,156498577.4,2026-05-10
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,419310401.47,0.2995,1400034729.449082,1400034729.449082,419310401.47,2026-05-10
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,384592344.51,0.3566,1078497881.4077399,1078497881.4077399,384592344.51,2026-05-10
CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.,41871056.76,0.2492,168021897.1107544,168021897.1107544,41871056.76,2026-05-10
CANTE,ÇAN2 TERMİK A.Ş.,7056391782.54,0.7056,10000555247.363945,10000555247.363945,7056391782.54,2026-05-10
CATES,ÇATES ELEKTRİK ÜRETİM A.Ş.,33030789.0,0.1999,165236563.28164083,165236563.28164083,33030789.0,2026-05-10
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,2442213.39,0.1005,24300630.746268656,24300630.746268656,2442213.39,2026-05-10
CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,74241464.34,0.1925,385669944.6233766,385669944.6233766,74241464.34,2026-05-10
CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,679163650.24,0.8586,791012870.0675519,791012870.0675519,679163650.24,2026-05-10
CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,194112929.1,0.3882,500033305.2550232,500033305.2550232,194112929.1,2026-05-10
CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,876312.95,0.0495,17703291.91919192,17703291.91919192,876312.9500000001,2026-05-10
CMENT,ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,2360215.16,0.0027,874153762.962963,874153762.962963,2360215.16,2026-05-10
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,426249716.19,0.4507,945750424.2067895,945750424.2067895,426249716.19,2026-05-10
CUSAN,ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,18407494.37,0.2583,71264012.27255131,71264012.27255131,18407494.37,2026-05-10
DAGI,DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,175269825.42,0.4381,400068079.02305406,400068079.02305406,175269825.42,2026-05-10
DAPGM,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,759375342.86,0.2865,2650524756.9284472,2650524756.9284472,759375342.8600001,2026-05-10
DARDL,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,735471151.05,0.3137,2344504784.9856553,2344504784.9856553,735471151.0500001,2026-05-10
DGATE,DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,12223877.46,0.4074,30004608.394698087,30004608.394698087,12223877.46,2026-05-10
DCTTR,DCT TRADİNG DIŞ TİCARET A.Ş.,157144662.62,0.4029,390033910.69744354,390033910.69744354,157144662.62,2026-05-10
DMSAS,DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,105184956.41,0.5259,200009424.6244533,200009424.6244533,105184956.41,2026-05-10
DENGE,DENGE YATIRIM HOLDİNG A.Ş.,523373291.17,0.8722,600061099.7133685,600061099.7133685,523373291.17,2026-05-10
DZGYO,DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,112192891.1,0.2804,400117300.6419401,400117300.6419401,112192891.10000001,2026-05-10
DERIM,DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,14575190.76,0.2699,54002188.81067062,54002188.81067062,14575190.76,2026-05-10
DERHL,DERLÜKS YATIRIM HOLDİNG A.Ş.,118184798.74,0.0599,1973035037.3956592,1973035037.3956592,118184798.74,2026-05-10
DESA,DESA DERİ SANAYİ VE TİCARET A.Ş.,88020634.55,0.1796,490092619.9888641,490092619.9888641,88020634.55,2026-05-10
DESPC,DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,11696855.37,0.5085,23002665.427728616,23002665.427728616,11696855.37,2026-05-10
DSTKF,DESTEK FİNANS FAKTORİNG A.Ş.,84532964.13,0.2535,333463369.3491124,333463369.3491124,84532964.13,2026-05-10
DEVA,DEVA HOLDİNG A.Ş.,35464628.1,0.1773,200026103.21489,200026103.21489,35464628.1,2026-05-10
DNISI,DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,53052484.01,0.4431,119730273.09862334,119730273.09862334,53052484.01,2026-05-10
DIRIT,DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,10089679.43,0.9473,10650986.41401879,10650986.41401879,10089679.43,2026-05-10
DITAS,DİTAŞ BDY YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,55380326.54,0.3257,170034775.990175,170034775.990175,55380326.54,2026-05-10
DMRGD,DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,725648215.27,0.4895,1482427406.0674157,1482427406.0674157,725648215.27,2026-05-10
DOCO,DO & CO AKTIENGESELLSCHAFT,254386.0,0.7536,337561.04033970274,337561.04033970274,254386.0,2026-05-10
DOFRB,DOF ROBOTİK SANAYİ A.Ş.,44982037.68,0.2902,155003575.74086836,155003575.74086836,44982037.68,2026-05-10
DOFER,DOFER YAPI MALZEMELERİ SANAYİ VE TİCARET A.Ş.,18605158.19,0.3337,55754145.010488465,55754145.010488465,18605158.19,2026-05-10
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,933088491.52,0.3565,2617359022.496494,2617359022.496494,933088491.52,2026-05-10
DGNMO,DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,175145551.35,0.5004,350011093.8249401,350011093.8249401,175145551.35,2026-05-10
ARASE,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,43668613.24,0.1746,250106605.04009163,250106605.04009163,43668613.24,2026-05-10
