ticker,sirket_adi,float_amount_tl,float_pct,odenmis_sermaye_tl,shares_outstanding,float_shares,update_date
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,5182683.1,0.4833,10723532.174632732,10723532.174632732,5182683.1,2026-05-08
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,71745777.91,0.0276,2599484706.884058,2599484706.884058,71745777.91,2026-05-08
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,4678666401.52,0.9283,5040037058.62329,5040037058.62329,4678666401.52,2026-05-08
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,115086719.13,0.2108,545952178.0360532,545952178.0360532,115086719.13000001,2026-05-08
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,195880564.16,0.4897,400001152.05227685,400001152.05227685,195880564.16,2026-05-08
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,923477731.45,0.3791,2435973968.4779744,2435973968.4779744,923477731.45,2026-05-08
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,35801245.2,0.1988,180086746.47887325,180086746.47887325,35801245.2,2026-05-08
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,959173179.39,0.3996,2400333281.756757,2400333281.756757,959173179.39,2026-05-08
AAGYO,AĞAOĞLU AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,175964933.41,0.0251,7010555115.9362545,7010555115.9362545,175964933.41,2026-05-08
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,184650066.97,0.2559,721571187.8468151,721571187.8468151,184650066.97,2026-05-08
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,438148238.2,0.1685,2600286280.1186943,2600286280.1186943,438148238.20000005,2026-05-08
AKBNK,AKBANK T.A.Ş.,2795954780.94,0.5376,5200808744.308036,5200808744.308036,2795954780.94,2026-05-08
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,37944515.77,0.1981,191542230.03533572,191542230.03533572,37944515.77,2026-05-08
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,192419999.93,0.7752,248219814.1511868,248219814.1511868,192419999.93,2026-05-08
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,184155125.89,0.2525,729327231.2475247,729327231.2475247,184155125.89,2026-05-08
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1723596925.27,0.4419,3900423003.5528398,3900423003.5528398,1723596925.27,2026-05-08
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,66831509.68,0.1049,637097327.7407055,637097327.7407055,66831509.68,2026-05-08
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,340229390.2,0.2842,1197147748.768473,1197147748.768473,340229390.2,2026-05-08
AKHAN,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,54688306.47,0.002,27344153235.0,27344153235.0,54688306.47,2026-05-08
ATEKS,AKIN TEKSTİL A.Ş.,5401860.57,0.2143,25207002.193187125,25207002.193187125,5401860.57,2026-05-08
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1299137487.9,0.5379,2415202617.401004,2415202617.401004,1299137487.9,2026-05-08
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,3655340.86,0.0098,372993965.3061224,372993965.3061224,3655340.8599999994,2026-05-08
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,1223355846.21,0.3148,3886136741.4548917,3886136741.4548917,1223355846.21,2026-05-08
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,238541880.0,0.1945,1226436401.0282776,1226436401.0282776,238541880.0,2026-05-08
AKGRT,AKSİGORTA A.Ş.,451225746.44,0.2799,1612096271.6684532,1612096271.6684532,451225746.44,2026-05-08
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,55068062.12,0.8343,66005108.61800311,66005108.61800311,55068062.12,2026-05-08
ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,1718498.54,0.1591,10801373.601508485,10801373.601508485,1718498.5399999998,2026-05-08
ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,884942991.11,0.4362,2028755137.8037598,2028755137.8037598,884942991.11,2026-05-08
ALARK,ALARKO HOLDİNG A.Ş.,142989906.59,0.3429,417001768.9997084,417001768.9997084,142989906.59,2026-05-08
ALBRK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,1007174729.14,0.4028,2500433786.345581,2500433786.345581,1007174729.14,2026-05-08
ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,13533360.29,0.3496,38710984.81121281,38710984.81121281,13533360.29,2026-05-08
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,84552415.49,0.2297,368099327.3400087,368099327.3400087,84552415.49,2026-05-08
ALKIM,ALKİM ALKALİ KİMYA A.Ş.,140544721.06,0.4684,300052777.66865927,300052777.66865927,140544721.06,2026-05-08
ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,139008777.68,0.1891,735107232.5753571,735107232.5753571,139008777.68,2026-05-08
AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,1878777.42,0.0751,25017009.587217044,25017009.587217044,1878777.42,2026-05-08
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,399689538.78,0.3996,1000224071.0210209,1000224071.0210209,399689538.78,2026-05-08
ALKLC,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,45370862.14,0.0405,1120268200.9876542,1120268200.9876542,45370862.14,2026-05-08
ALVES,ALVES KABLO SANAYİ VE TİCARET A.Ş.,1359214292.86,0.8495,1600016825.026486,1600016825.026486,1359214292.86,2026-05-08
ANSGR,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,694792876.9,0.3473,2000555361.07112,2000555361.07112,694792876.9,2026-05-08
